Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
898348.0,902068.0,220.69026235770434,2045.275103356049,2020/06/15,900205.7255185565,516831.8751678113,383373.85035074526,,,,,
898558.0,902281.0,211.81771405239124,2020.3050028466969,2020/06/16,900417.5432326089,515023.387879017,385394.15535359195,,,,,
898759.0,902476.0,203.3844578722492,1995.898853869352,2020/06/17,900620.9276904812,513230.8734830199,387390.0542074613,,,,,
898959.0,902679.0,195.3624038748676,1972.0409918715595,2020/06/18,900816.290094356,511454.1948950232,389362.09519933286,,,,,
899144.0,902868.0,187.72568326164037,1948.7161756020505,2020/06/19,901004.0157776177,509693.2044026828,391310.8113749349,,,,,
899319.0,903044.0,180.45046620594803,1925.9096477486892,2020/06/20,901184.4662438236,507947.74522114004,393236.7210226836,,,,,
899497.0,903219.0,173.51476981083397,1903.606719817617,2020/06/21,901357.9810136345,506217.65327113325,395140.3277425012,,,,,
899663.0,903391.0,166.8982979095308,1881.7938326307922,2020/06/22,901524.879311544,504502.757736412,397022.121575132,,,,,
899827.0,903550.0,160.58229715935886,1860.4571795727243,2020/06/23,901685.4616087034,502802.8828539986,398882.57875470474,,,,,
899980.0,903702.0,154.5494126600679,1839.5833617824246,2020/06/24,901840.0110213634,501117.8489048763,400722.16211648716,,,,,
900128.0,903854.0,148.78357419592794,1819.159977531992,2020/06/25,901988.7945955594,499447.4725015402,402541.32209401915,,,,,
900275.0,903995.0,143.26988157141022,1799.174374983122,2020/06/26,902132.0644771308,497791.5680081285,404340.4964690023,,,,,
900410.0,904132.0,137.994498656597,1779.614358985331,2020/06/27,902270.0589757874,496149.94814779976,406120.1108279876,,,,,
900544.0,904266.0,132.94457579753362,1760.4684478093404,2020/06/28,902403.0035515849,494522.42427578795,407880.57927579695,,,,,
900674.0,904394.0,128.10814674326684,1741.7250973128248,2020/06/29,902531.1116983282,492908.8073252184,409622.3043731098,,,,,
900791.0,904522.0,123.4740699918475,1723.3732215690543,2020/06/30,902654.58576832,491308.9081736412,411345.6775946788,,,,,
900908.0,904638.0,119.03195207880344,1705.4021543034469,2020/07/01,902773.6177203988,489722.53797141655,413051.0797489823,,,,,
901033.0,904751.0,114.7720880160341,1687.801545828057,2020/07/02,902888.3898084149,488149.5085136045,414738.88129481033,,,,,
901140.0,904860.0,110.6854023388587,1670.5612184783095,2020/07/03,902999.0752107537,486589.6326974651,416409.44251328864,,,,,
901244.0,904966.0,106.76340463256929,1653.6713374822866,2020/07/04,903105.8386153863,485042.72476461536,418063.1138507709,,,,,
901346.9750000001,905068.0,102.9981332772877,1637.1224642858724,2020/07/05,903208.8367486636,483508.60043360677,419700.2363150568,,,,,
901448.0,905172.0,99.38212118705269,1620.9053105911007,2020/07/06,903308.2188698506,481987.0772442027,421321.1416256479,,,,,
901543.0,905265.0,95.9083557772683,1605.0109340675408,2020/07/07,903404.1272256279,480477.97466591245,422926.15255971544,,,,,
901632.0,905359.0,92.5702383153839,1589.4306153598009,2020/07/08,903496.6974639433,478981.11428886803,424515.58317507524,,,,,
901729.0,905447.0,89.3615634032758,1574.1559351623291,2020/07/09,903586.0590273465,477496.319917109,426089.73911023757,,,,,
901805.0,905530.0,86.27647811360657,1559.1786815312807,2020/07/10,903672.3355054602,476023.4177136913,427648.91779176885,,,,,
901895.0,905620.0,83.30945932073519,1544.490931534092,2020/07/11,903755.6449647809,474562.23624147795,429193.40872330294,,,,,
901975.0,905700.0,80.45529978151899,1530.0849269612227,2020/07/12,903836.1002645624,473112.60661429825,430723.49365026416,,,,,
902052.0,905781.0,77.70907046529464,1515.953711514303,2020/07/13,903913.8093350277,471674.36197324924,432239.44736177847,,,,,
