Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/24,29636.538727059786,29639.99880345765,0.6909200268819404,0.00040840799556463026,9230.54925408272,151.5564987986927,20405.989472977068,29301.0,29975.0,29303.0,29978.0,,,,
2020/05/25,29637.11469891767,29639.999106014824,0.5759718578847242,0.0003025571750185918,9380.993070636256,150.44381655353573,20256.121628281413,29300.0,29975.0,29303.0,29978.0,,,,
2020/05/26,29637.5948411211,29639.999330636252,0.48014220342884073,0.00022462142806034535,9530.331633360262,149.3385627240059,20107.263207760836,29301.0,29976.0,29303.0,29978.0,,,,
2020/05/27,29637.99509378911,29639.99949775271,0.4002526680123992,0.00016711645730538294,9678.572444769941,148.24081140967974,19959.422649019172,29300.0,29976.0,29304.0,29978.0,,,,
2020/05/28,29638.328746668565,29639.999622349613,0.3336528794534388,0.00012459690333344042,9825.723059507618,147.15061473767673,19812.605687160947,29301.0,29977.0,29303.0,29978.0,,,,
2020/05/29,29638.60687949355,29639.999715440495,0.27813282498391345,9.30908827285748e-05,9971.791066094638,146.06800658702014,19666.815813398913,29301.0,29977.0,29303.0,29978.0,,,,
2020/05/30,29638.838729304618,29639.99978513759,0.23184981106896885,6.969709284021519e-05,10116.784071784241,144.9930056896028,19522.054657520377,29302.0,29977.0,29302.0,29978.0,,,,
2020/05/31,29639.03199675113,29639.999837427902,0.19326744651334593,5.2290313760749996e-05,10260.70969000341,143.92561821916934,19378.322306747723,29302.0,29976.0,29303.0,29978.0,,,,
2020/06/01,29639.193101535326,29639.99987673973,0.16110478419432184,3.931182800442912e-05,10403.575529951337,142.86583994792636,19235.61757158399,29302.0,29977.0,29303.0,29978.0,,,,
2020/06/02,29639.32739540546,29639.999906354788,0.13429387013457017,2.9615057428600267e-05,10545.38918799695,141.81365804561392,19093.938207408508,29302.0,29977.0,29302.0,29978.0,,,,
2020/06/03,29639.439339759203,29639.999928710262,0.11194435374272871,2.235547435702756e-05,10686.158240575336,140.76905257838553,18953.281099183867,29302.0,29978.0,29303.0,29979.0,,,,
2020/06/04,29639.53265372481,29639.99994561977,0.0933139656081039,1.6909507394302636e-05,10825.89023833376,139.73199775842477,18813.64241539105,29302.975000000002,29977.0,29304.0,29977.0,,,,
