Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
22475.0,23065.0,22382.0,22971.0,-5.093170329928398e-11,6.584194065497286,77.37684309483211,2020/06/18,22770.000000000007,22675.382724298863,16539.092097663255,6136.290626635608,,,,
22475.0,23066.0,22386.0,22978.0,0.0,6.155824689827568,77.04611343776105,2020/06/19,22770.000000000007,22681.53854898869,16468.20180891532,6213.336740073369,,,,
22475.0,23066.0,22393.0,22983.0,-3.637978807091713e-12,5.755325104739313,76.7149947021253,2020/06/20,22770.000000000004,22687.29387409343,16397.242139317936,6290.051734775494,,,,
22475.0,23066.0,22398.0,22989.0,-1.0913936421275139e-11,5.380882734672923,76.38361418422846,2020/06/21,22769.999999999993,22692.674756828103,16326.23940786838,6366.435348959722,,,,
22475.0,23066.0,22403.0,22994.0,9.094947017729282e-11,5.030800146239926,76.0520906299862,2020/06/22,22770.000000000084,22697.705556974342,16255.218117384633,6442.487439589709,,,,
22474.0,23066.0,22408.0,22998.0,1.6007106751203537e-10,4.703494580600818,75.72053427180617,2020/06/23,22770.000000000244,22702.409051554943,16184.20107769343,6518.207973861515,,,,
22475.0,23066.0,22411.0,23003.0,-8.36735125631094e-11,4.397484527242341,75.38904782788723,2020/06/24,22770.00000000016,22706.806536082186,16113.209514392784,6593.597021689402,,,,
22475.0,23066.0,22416.0,23006.0,-2.000888343900442e-10,4.1113830841604795,75.05772699702266,2020/06/25,22769.99999999996,22710.917919166346,16042.26317047992,6668.654748686425,,,,
22475.0,23065.0,22420.0,23010.0,1.5643308870494366e-10,3.8438954355515307,74.72666064766418,2020/06/26,22770.000000000116,22714.761814601898,15971.38040526781,6743.381409334089,,,,
22475.0,23066.0,22424.0,23014.0,5.820766091346741e-11,3.5938105091481702,74.39593143922957,2020/06/27,22770.000000000175,22718.355625111046,15900.578284337727,6817.777340773318,,,,
22475.0,23066.0,22428.0,23018.0,-1.0113581083714962e-09,3.359995795519353,74.06561620831872,2020/06/28,22769.999999999163,22721.715620906565,15829.872663924929,6891.842956981637,,,,
22474.0,23066.0,22430.0,23020.0,-2.557499101385474e-09,3.1413947395230934,73.73578616316627,2020/06/29,22769.999999996606,22724.85701564609,15759.278272501284,6965.578743144803,,,,
22475.0,23066.0,22433.0,23024.0,-1.1423253454267979e-09,2.937014738959988,73.40650777818246,2020/06/30,22769.999999995463,22727.79403038505,15688.808779462062,7038.985250922986,,,,
22475.0,23066.0,22435.0,23027.0,3.1868694350123405e-09,2.745931082572497,73.07784250041732,2020/07/01,22769.99999999865,22730.53996146762,15618.476868044218,7112.063093423403,,,,
22474.0,23066.0,22438.0,23029.0,4.270987119525671e-09,2.567280547456903,72.74984722677073,2020/07/02,22770.00000000292,22733.107242015078,15548.294301364904,7184.812940650174,,,,
22475.0,23067.0,22440.0,23031.0,-5.762558430433273e-09,2.4002524378047383,72.42257497193805,2020/07/03,22769.99999999716,22735.507494452882,15478.27197883077,7257.235515622112,,,,
22475.0,23067.0,22443.0,23033.0,-8.229108061641455e-09,2.2440913692335016,72.09607466062607,2020/07/04,22769.99999998893,22737.751585822116,15408.419995539378,7329.331590282738,,,,
22474.0,23066.0,22445.0,23036.0,1.1783413356170058e-08,2.09809022515401,71.77039165269161,2020/07/05,22770.000000000713,22739.84967604727,15338.74769411184,7401.10198193543,,,,
