日期,复工指数,缺工指数,省份,序号
3月16日,0.885,0.362,福建省,422
3月17日,0.851,0.359,福建省,423
3月18日,0.846,0.356,福建省,424
3月19日,0.854,0.352,福建省,425
3月20日,0.891,0.349,福建省,426
3月23日,0.885,0.342,福建省,427
3月24日,0.885,0.341,福建省,428
3月25日,0.904,0.34,福建省,429
2月10日,0.46,0.426,辽宁省,430
2月11日,0.452,0.421,辽宁省,431
2月12日,0.463,0.416,辽宁省,432
2月13日,0.472,0.411,辽宁省,433
2月14日,0.457,0.405,辽宁省,434
2月17日,0.494,0.392,辽宁省,435
2月18日,0.518,0.386,辽宁省,436
2月19日,0.531,0.378,辽宁省,437
2月20日,0.555,0.369,辽宁省,438
2月21日,0.522,0.361,辽宁省,439
2月24日,0.74,0.336,辽宁省,440
2月25日,0.711,0.325,辽宁省,441
2月26日,0.725,0.315,辽宁省,442
2月27日,0.734,0.307,辽宁省,443
2月28日,0.719,0.299,辽宁省,444
3月2日,0.796,0.277,辽宁省,445
3月3日,0.741,0.271,辽宁省,446
3月4日,0.736,0.266,辽宁省,447
3月5日,0.781,0.257,辽宁省,448
3月6日,0.786,0.255,辽宁省,449
3月9日,0.77,0.246,辽宁省,450
3月10日,0.819,0.24,辽宁省,451
3月11日,0.822,0.236,辽宁省,452
3月12日,0.815,0.232,辽宁省,453
3月13日,0.836,0.228,辽宁省,454
3月16日,0.851,0.217,辽宁省,455
3月17日,0.86,0.212,辽宁省,456
3月18日,0.859,0.209,辽宁省,457
3月19日,0.857,0.205,辽宁省,458
3月20日,0.875,0.201,辽宁省,459
3月23日,0.907,0.187,辽宁省,460
3月24日,0.907,0.183,辽宁省,461
3月25日,0.903,0.178,辽宁省,462
2月10日,0.335,0.237,江西省,463
2月11日,0.315,0.236,江西省,464
2月12日,0.334,0.235,江西省,465
2月13日,0.339,0.235,江西省,466
2月14日,0.357,0.235,江西省,467
2月17日,0.434,0.23,江西省,468
2月18日,0.485,0.228,江西省,469
2月19日,0.505,0.225,江西省,470
2月20日,0.562,0.222,江西省,471
2月21日,0.579,0.218,江西省,472
2月24日,0.681,0.208,江西省,473
2月25日,0.675,0.205,江西省,474
2月26日,0.674,0.203,江西省,475
2月27日,0.675,0.201,江西省,476
2月28日,0.69,0.198,江西省,477
3月2日,0.735,0.187,江西省,478
3月3日,0.663,0.185,江西省,479
3月4日,0.694,0.182,江西省,480
3月5日,0.734,0.18,江西省,481
3月6日,0.693,0.178,江西省,482
3月9日,0.74,0.168,江西省,483
3月10日,0.787,0.165,江西省,484
3月11日,0.783,0.162,江西省,485
3月12日,0.728,0.158,江西省,486
3月13日,0.78,0.156,江西省,487
3月16日,0.822,0.143,江西省,488
3月17日,0.795,0.139,江西省,489
3月18日,0.827,0.134,江西省,490
3月19日,0.837,0.131,江西省,491
3月20日,0.865,0.128,江西省,492
3月23日,0.855,0.116,江西省,493
3月24日,0.852,0.113,江西省,494
3月25日,0.87,0.11,江西省,495
2月10日,0.449,0.239,贵州省,496
2月11日,0.453,0.237,贵州省,497
2月12日,0.469,0.236,贵州省,498
2月13日,0.491,0.234,贵州省,499
2月14日,0.511,0.232,贵州省,500
2月17日,0.671,0.225,贵州省,501
2月18日,0.681,0.218,贵州省,502
2月19日,0.701,0.21,贵州省,503
2月20日,0.682,0.204,贵州省,504
2月21日,0.704,0.196,贵州省,505
2月24日,0.791,0.168,贵州省,506
2月25日,0.791,0.16,贵州省,507
2月26日,0.799,0.152,贵州省,508
2月27日,0.803,0.143,贵州省,509
2月28日,0.788,0.135,贵州省,510
3月2日,0.852,0.107,贵州省,511
3月3日,0.821,0.1,贵州省,512
3月4日,0.833,0.094,贵州省,513
3月5日,0.836,0.088,贵州省,514
3月6日,0.857,0.081,贵州省,515
3月9日,0.874,0.067,贵州省,516
3月10日,0.849,0.062,贵州省,517
3月11日,0.85,0.057,贵州省,518
3月12日,0.863,0.052,贵州省,519
3月13日,0.87,0.047,贵州省,520
3月16日,0.857,0.038,贵州省,521
3月17日,0.84,0.035,贵州省,522
3月18日,0.845,0.031,贵州省,523
3月19日,0.859,0.027,贵州省,524
3月20日,0.882,0.024,贵州省,525
3月23日,0.875,0.019,贵州省,526
3月24日,0.871,0.017,贵州省,527
3月25日,0.875,0.014,贵州省,528
2月10日,0.376,0.631,黑龙江省,529
2月11日,0.362,0.6,黑龙江省,530
2月12日,0.364,0.579,黑龙江省,531
2月13日,0.365,0.565,黑龙江省,532
2月14日,0.363,0.561,黑龙江省,533
2月17日,0.369,0.532,黑龙江省,534
2月18日,0.377,0.518,黑龙江省,535
2月19日,0.38,0.512,黑龙江省,536
2月20日,0.383,0.51,黑龙江省,537
2月21日,0.374,0.519,黑龙江省,538
2月24日,0.433,0.515,黑龙江省,539
2月25日,0.432,0.511,黑龙江省,540
2月26日,0.439,0.517,黑龙江省,541
2月27日,0.445,0.51,黑龙江省,542
2月28日,0.445,0.498,黑龙江省,543
3月2日,0.507,0.411,黑龙江省,544
3月3日,0.501,0.391,黑龙江省,545
