Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
12726.0,13173.0,12727.0,13172.0,0.0,1.3399403542280197e-07,-0.051942740901722566,1.3399403542280197e-07,2020/05/17,12948.844513588288,12948.844513150967,12895.663597291987,0.0,12948.844513150967,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,9.685936674941331e-08,-0.05602585155975248,9.685936674941331e-08,2020/05/18,12948.844513588288,12948.844513247826,12895.607571440427,0.0,12948.844513247826,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,6.994378054514527e-08,-0.05960092213717871,6.994378054514527e-08,2020/05/19,12948.844513588288,12948.84451331777,12895.547970518292,0.0,12948.84451331777,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,5.0615199143067e-08,-0.0627311500156793,5.0615199143067e-08,2020/05/20,12948.844513588288,12948.844513368385,12895.485239368274,0.0,12948.844513368385,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,3.656532499007881e-08,-0.06547187574324198,3.656532499007881e-08,2020/05/21,12948.844513588288,12948.84451340495,12895.419767492529,0.0,12948.84451340495,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,2.6433554012328386e-08,-0.06787155698657442,2.6433554012328386e-08,2020/05/22,12948.844513588288,12948.844513431384,12895.351895935544,0.0,12948.844513431384,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,1.90957507584244e-08,-0.06997262782715552,1.90957507584244e-08,2020/05/23,12948.844513588288,12948.84451345048,12895.281923307715,0.0,12948.84451345048,,,,,
12726.0,13173.0,12726.0,13173.0,0.0,1.3804310583509505e-08,-0.07181224064515845,1.3804310583509505e-08,2020/05/24,12948.844513588288,12948.844513464284,12895.210111067072,0.0,12948.844513464284,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,9.975337889045477e-09,-0.0734229287954804,9.975337889045477e-09,2020/05/25,12948.844513588288,12948.84451347426,12895.136688138276,0.0,12948.84451347426,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,7.210473995655775e-09,-0.07483317903461284,7.210473995655775e-09,2020/05/26,12948.844513588288,12948.84451348147,12895.061854959244,0.0,12948.84451348147,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,5.204128683544695e-09,-0.07606793172635662,5.204128683544695e-09,2020/05/27,12948.844513588288,12948.844513486674,12894.985787027517,0.0,12948.844513486674,,,,,
12726.0,13173.0,12727.0,13172.0,0.0,3.768946044147015e-09,-0.07714902562111092,3.768946044147015e-09,2020/05/28,12948.844513588288,12948.844513490443,12894.908638001894,0.0,12948.844513490443,,,,,
12727.0,13172.0,12727.0,13172.0,0.0,2.723027137108147e-09,-0.07809558209009992,2.723027137108147e-09,2020/05/29,12948.844513588288,12948.844513493166,12894.830542419804,0.0,12948.844513493166,,,,,
12727.0,13172.0,12727.0,13172.0,0.0,1.962689566425979e-09,-0.07892434347013477,1.962689566425979e-09,2020/05/30,12948.844513588288,12948.844513495129,12894.751618076332,0.0,12948.844513495129,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.4242687029764056e-09,-0.07964996735063322,1.4242687029764056e-09,2020/05/31,12948.844513588288,12948.844513496553,12894.671968108983,0.0,12948.844513496553,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,1.0240910341963172e-09,-0.0802852895212709,1.0240910341963172e-09,2020/06/01,12948.844513588288,12948.844513497577,12894.591682819462,0.0,12948.844513497577,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,7.421476766467094e-10,-0.08084154521930031,7.421476766467094e-10,2020/06/02,12948.844513588288,12948.84451349832,12894.510841274243,0.0,12948.84451349832,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,5.402398528531194e-10,-0.08132857665077609,5.402398528531194e-10,2020/06/03,12948.844513588288,12948.84451349886,12894.429512697592,0.0,12948.84451349886,,,,,
12727.0,13173.0,12726.0,13173.0,0.0,3.8744474295526743e-10,-0.08175499926437624,3.8744474295526743e-10,2020/06/04,12948.844513588288,12948.844513499247,12894.347757698328,0.0,12948.844513499247,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,2.764863893389702e-10,-0.08212835072663438,2.764863893389702e-10,2020/06/05,12948.844513588288,12948.844513499524,12894.2656293476,0.0,12948.844513499524,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,2.000888343900442e-10,-0.08245526218161102,2.000888343900442e-10,2020/06/06,12948.844513588288,12948.844513499724,12894.18317408542,0.0,12948.844513499724,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.4915713109076023e-10,-0.08274145877476258,1.4915713109076023e-10,2020/06/07,12948.844513588288,12948.844513499873,12894.100432626643,0.0,12948.844513499873,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,1.0913936421275139e-10,-0.08299204935792659,1.0913936421275139e-10,2020/06/08,12948.844513588288,12948.844513499982,12894.017440577287,0.0,12948.844513499982,,,,,
12726.0,13172.0,12727.0,13173.0,0.0,7.457856554538012e-11,-0.08321145585250632,7.457856554538012e-11,2020/06/09,12948.844513588288,12948.844513500057,12893.934229121433,0.0,12948.844513500057,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,5.093170329928398e-11,-0.0834035559273616,5.093170329928398e-11,2020/06/10,12948.844513588288,12948.844513500107,12893.850825565507,0.0,12948.844513500107,,,,,
12726.0,13172.0,12727.0,13172.0,0.0,4.3655745685100555e-11,-0.0835717597619805,4.3655745685100555e-11,2020/06/11,12948.844513588288,12948.844513500151,12893.767253805745,0.0,12948.844513500151,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,3.092281986027956e-11,-0.08371901929604064,3.092281986027956e-11,2020/06/12,12948.844513588288,12948.844513500182,12893.683534786447,0.0,12948.844513500182,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,1.8189894035458565e-11,-0.08384792542528885,1.8189894035458565e-11,2020/06/13,12948.844513588288,12948.8445135002,12893.599686861024,0.0,12948.8445135002,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,1.0913936421275139e-11,-0.08396082340186695,1.0913936421275139e-11,2020/06/14,12948.844513588288,12948.844513500211,12893.515726037622,0.0,12948.844513500211,,,,,
12726.0,13173.0,12727.0,13173.0,0.0,1.6370904631912708e-11,-0.08405969061095675,1.6370904631912708e-11,2020/06/15,12948.844513588288,12948.844513500228,12893.431666347009,0.0,12948.844513500228,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,1.4551915228366852e-11,-0.08414621857627935,1.4551915228366852e-11,2020/06/16,12948.844513588288,12948.844513500242,12893.347520128435,0.0,12948.844513500242,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,1.0913936421275139e-11,-0.08422198607331666,1.0913936421275139e-11,2020/06/17,12948.844513588288,12948.844513500253,12893.263298142361,0.0,12948.844513500253,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,3.637978807091713e-12,-0.08428832964818866,3.637978807091713e-12,2020/06/18,12948.844513588288,12948.844513500257,12893.179009812713,0.0,12948.844513500257,,,,,
12727.0,13173.0,12726.0,13172.0,0.0,-1.0913936421275139e-11,-0.08434641760322847,-1.0913936421275139e-11,2020/06/19,12948.844513588288,12948.844513500246,12893.09466339511,0.0,12948.844513500246,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,0.0,-0.08439727173936262,0.0,2020/06/20,12948.844513588288,12948.844513500246,12893.010266123369,0.0,12948.844513500246,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,7.275957614183426e-12,-0.08444179609614366,7.275957614183426e-12,2020/06/21,12948.844513588288,12948.844513500253,12892.925824327272,0.0,12948.844513500253,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,1.0913936421275139e-11,-0.08448078431865724,1.0913936421275139e-11,2020/06/22,12948.844513588288,12948.844513500264,12892.841343542956,0.0,12948.844513500264,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.8189894035458565e-12,-0.08451491824780533,1.8189894035458565e-12,2020/06/23,12948.844513588288,12948.844513500266,12892.756828624708,0.0,12948.844513500266,,,,,
12726.0,13173.0,12726.0,13173.0,0.0,-9.094947017729282e-12,-0.08454480365435303,-9.094947017729282e-12,2020/06/24,12948.844513588288,12948.844513500257,12892.672283821052,0.0,12948.844513500257,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,-1.4551915228366852e-11,-0.08457096924939833,-1.4551915228366852e-11,2020/06/25,12948.844513588288,12948.844513500242,12892.587712851804,0.0,12948.844513500242,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,9.094947017729282e-12,-0.08459387981929467,9.094947017729282e-12,2020/06/26,12948.844513588288,12948.844513500251,12892.503118971985,0.0,12948.844513500251,,,,,
12727.0,13173.0,12727.0,13172.0,0.0,1.2732925824820995e-11,-0.08461394014011603,1.2732925824820995e-11,2020/06/27,12948.844513588288,12948.844513500264,12892.418505031843,0.0,12948.844513500264,,,,,
12727.0,13173.0,12726.0,13172.0,0.0,1.4551915228366852e-11,-0.08463150301577116,1.4551915228366852e-11,2020/06/28,12948.844513588288,12948.844513500278,12892.333873528829,0.0,12948.844513500278,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,0.0,-0.08464687952437089,0.0,2020/06/29,12948.844513588288,12948.844513500278,12892.249226649305,0.0,12948.844513500278,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,-3.2741809263825417e-11,-0.08466034306547954,-3.2741809263825417e-11,2020/06/30,12948.844513588288,12948.844513500246,12892.16456630624,0.0,12948.844513500246,,,,,
12727.0,13172.0,12727.0,13172.0,0.0,-2.9103830456733704e-11,-0.08467213062431256,-2.9103830456733704e-11,2020/07/01,12948.844513588288,12948.844513500217,12892.079894175615,0.0,12948.844513500217,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,-5.4569682106375694e-12,-0.0846824520995142,-5.4569682106375694e-12,2020/07/02,12948.844513588288,12948.844513500211,12891.995211723515,0.0,12948.844513500211,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.0913936421275139e-11,-0.08469148844233132,1.0913936421275139e-11,2020/07/03,12948.844513588288,12948.844513500222,12891.910520235071,0.0,12948.844513500222,,,,,
12726.0,13173.0,12726.0,13173.0,0.0,2.9103830456733704e-11,-0.08469940031318401,2.9103830456733704e-11,2020/07/04,12948.844513588288,12948.844513500251,12891.825820834758,0.0,12948.844513500251,,,,,
