Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/01,20955.842774096036,22585.902216119543,125.23894121183912,5.155015969648957e-09,762.1753499277867,27.14955125646577,20193.66742416825,20673.0,21240.0,22292.0,22881.0,,,,
2020/05/02,21072.14604812503,22585.90221612857,116.30327402899275,9.02582542039454e-09,789.4509121127722,27.275562184985574,20282.695136012255,20788.0,21357.0,22292.0,22881.0,,,,
2020/05/03,21180.151189229764,22585.902216123075,108.00514110473523,-5.4933479987084866e-09,816.8407162507405,27.389804137968213,20363.310472979025,20895.0,21465.0,22292.0,22881.0,,,,
2020/05/04,21280.45026071919,22585.902216115384,100.29907148942584,-7.690687198191881e-09,844.3338365071567,27.493120256416205,20436.116424212032,20995.0,21567.0,22292.0,22881.0,,,,
2020/05/05,21373.59308698416,22585.902216121154,93.14282626497152,5.769834388047457e-09,871.920130253843,27.58629374668635,20501.67295673032,21088.0,21661.0,22291.0,22881.0,,,,
2020/05/06,21460.090257183983,22585.902216121904,86.497170199822,7.494236342608929e-10,899.5901823687738,27.67005211493074,20560.50007481521,21173.0,21747.0,22292.0,22881.0,,,,
2020/05/07,21540.415931706742,22585.902216121565,80.32567452275907,-3.383320290595293e-10,927.3352531931207,27.745070824346953,20613.080678513623,21254.0,21828.0,22291.0,22881.0,,,,
2020/05/08,21615.010441017694,22585.90221612151,74.59450931095125,-5.4569682106375694e-11,955.1472303383487,27.811977145227956,20659.863210679345,21327.0,21904.0,22292.0,22881.0,,,,
2020/05/09,21684.28270923338,22585.902216121554,69.27226821568547,4.3655745685100555e-11,983.0185837435669,27.8713534052182,20701.26412548981,21396.0,21974.0,22292.0,22881.0,,,,
2020/05/10,21748.61243840719,22585.902216119044,64.32972917381267,-2.510205376893282e-09,1010.9423251702459,27.923741426679044,20737.670113236945,21461.0,22038.0,22292.0,22881.0,,,,
2020/05/11,21808.352309621412,22585.902216116378,59.73987121422033,-2.6666384655982256e-09,1038.911967385271,27.969642215025146,20769.440342236143,21519.0,22098.0,22292.0,22881.0,,,,
