Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
2020/05/26,31150.926331465264,31151.426732814543,0.15772451545126387,0.08231801733199973,23635.08112601751,203.641305809615,7515.845205447753,30805.0,31497.0,30806.0,31498.0,,,,,
2020/05/27,31151.063630010543,31151.49998441682,0.13729854527991847,0.07325160227628658,23833.354170695085,198.27304467757494,7317.709459315458,30806.0,31498.0,30806.0,31498.0,,,,,
2020/05/28,31151.183551073027,31151.565322861105,0.11992106248362688,0.06533844428486191,24026.400074012505,193.0459033174193,7124.783477060522,30807.0,31498.0,30806.0,31499.0,,,,,
2020/05/29,31151.288638396953,31151.623737662092,0.1050873239255452,0.05841480098752072,24214.356306455094,187.95623244258968,6936.932331941858,30805.0,31497.0,30806.0,31498.0,,,,,
2020/05/30,31151.381021250694,31151.67608000549,0.09238285374158295,0.0523423433987773,24397.356773414125,183.00046695903075,6754.024247836569,30806.0,31498.0,30807.0,31498.0,,,,,
2020/05/31,31151.462487607616,31151.72308391083,0.08146635692173732,0.047003905339806806,24575.531899304475,178.1751258903496,6575.930588303141,30806.0,31499.0,30807.0,31498.0,,,,,
2020/06/01,31151.53454360889,31151.765383901708,0.0720560012741771,0.04229999087692704,24749.00871120544,173.4768119009641,6402.525832403451,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/02,31151.598461992984,31151.803529798082,0.06391838409399497,0.03814589637477184,24917.91092171254,168.9022105071017,6233.6875402804435,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/03,31151.655321640486,31151.83799913246,0.056859647502278676,0.03446933437589905,25082.359010759068,164.44808904652746,6069.296310881418,30806.0,31497.0,30806.0,31498.0,,,,,
2020/06/04,31151.70603994387,31151.8692075973,0.050718303384201135,0.03120846484307549,25242.47030622403,160.1112954649616,5909.235733719841,30806.0,31498.0,30807.0,31498.0,,,,,
2020/06/05,31151.751399372897,31151.897517857713,0.045359429026575526,0.02831026041167206,25398.359063188098,155.8887569640683,5753.392336184799,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/06,31151.792069338197,31151.923247003946,0.040669965299457544,0.02572914623306133,25550.136541734777,151.77747854667905,5601.65552760342,30806.0,31498.0,30807.0,31498.0,,,,,
2020/06/07,31151.82862422934,31151.946672867816,0.03655489114316879,0.023425863870215835,25697.911083223677,147.77454148889956,5453.917541005663,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/08,31151.86155833556,31151.968039387957,0.03293410622063675,0.021366520140873035,25841.788184985406,143.87710176172914,5310.073373350155,30805.0,31498.0,30807.0,31498.0,,,,,
2020/06/09,31151.891298236438,31151.987561180697,0.029739900877757464,0.019521792739396915,25981.870573403645,140.08238841823913,5170.020724832793,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/10,31151.918213100987,31152.00542743943,0.026914864549326012,0.017866258735011797,26118.25827536862,136.38770196497353,5033.659937732369,30807.0,31498.0,30806.0,31499.0,,,,,
2020/06/11,31151.942623285562,31152.02180527047,0.024410184574662708,0.01637783103797119,26251.04868809367,132.79041272505128,4900.8939351918925,30806.0,31498.0,30806.0,31498.0,,,,,
2020/06/12,31151.964807522083,31152.036842550915,0.022184236520843115,0.015037280445540091,26380.33664729757,129.28795920389894,4771.628160224514,30806.0,31498.0,30807.0,31499.0,,,,,
2020/06/13,31151.985008958105,31152.05067038578,0.020201436022034613,0.013827834864059696,26506.21449376197,125.87784646440196,4645.7705151961345,30806.0,31499.0,30807.0,31499.0,,,,,
2020/06/14,31152.003440229964,31152.063405220862,0.01843127185929916,0.012734835083392682,26628.77213827946,122.55764451748837,4523.231301950505,30807.0,31498.0,30807.0,31498.0,,,,,
2020/06/15,31152.020287745763,31152.075150665867,0.016847515798872337,0.011745445004635258,26748.097125011118,119.32498673165901,4403.923162734645,30806.0,31499.0,30807.0,31499.0,,,,,
2020/06/16,31152.03571530959,31152.08599906966,0.015427563826960977,0.010848403791896999,26864.27469327659,116.17756826547338,4287.761022032999,30806.0,31499.0,30806.0,31498.0,,,,,
2020/06/17,31152.049867193284,31152.096032884256,0.014151883693557465,0.010033814596681623,26977.387837802402,113.11314452581064,4174.662029390882,30807.0,31498.0,30807.0,31498.0,,,,,
