Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up
0.0,1.1496013030409813e-09,21.811561564500156,1.1496013030409813e-09,2020/06/01,50006.54799981565,50006.54799979827,49195.27115152682,0.0,50006.54799979827,,,,,,49569.0,50445.0,49568.0,50446.0
0.0,-3.7834979593753815e-10,21.722585462433926,-3.7834979593753815e-10,2020/06/02,50006.54799981565,50006.54799979789,49216.99373698926,0.0,50006.54799979789,,,,,,49568.0,50445.0,49569.0,50446.0
0.0,1.964508555829525e-10,21.64039727720956,1.964508555829525e-10,2020/06/03,50006.54799981565,50006.54799979809,49238.63413426647,0.0,50006.54799979809,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,4.3655745685100555e-11,21.564479187705732,4.3655745685100555e-11,2020/06/04,50006.54799981565,50006.54799979813,49260.19861345417,0.0,50006.54799979813,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,0.0,21.494352897141653,0.0,2020/06/05,50006.54799981565,50006.54799979813,49281.69296635132,0.0,50006.54799979813,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,8.003553375601768e-11,21.42957652604673,8.003553375601768e-11,2020/06/06,50006.54799981565,50006.54799979821,49303.12254287736,0.0,50006.54799979821,,,,,,49568.0,50445.0,49568.0,50447.0
0.0,-2.9103830456733704e-11,21.369741912465546,-2.9103830456733704e-11,2020/06/07,50006.54799981565,50006.54799979818,49324.492284789834,0.0,50006.54799979818,,,,,,49568.0,50446.0,49568.0,50445.0
0.0,3.637978807091713e-11,21.314472150428628,3.637978807091713e-11,2020/06/08,50006.54799981565,50006.54799979822,49345.806756940256,0.0,50006.54799979822,,,,,,49568.0,50446.0,49568.0,50445.0
0.0,0.0,21.263418933223875,0.0,2020/06/09,50006.54799981565,50006.54799979822,49367.07017587348,0.0,50006.54799979822,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-5.820766091346741e-11,21.21626058973925,-5.820766091346741e-11,2020/06/10,50006.54799981565,50006.54799979816,49388.286436463226,0.0,50006.54799979816,,,,,,49569.0,50445.0,49568.0,50445.0
0.0,-2.9103830456733704e-11,21.17270000017743,-2.9103830456733704e-11,2020/06/11,50006.54799981565,50006.54799979813,49409.459136463396,0.0,50006.54799979813,,,,,,49569.0,50446.0,49569.0,50444.0
0.0,-8.731149137020111e-11,21.132462683803173,-8.731149137020111e-11,2020/06/12,50006.54799981565,50006.547999798044,49430.5915991472,0.0,50006.547999798044,,,,,,49568.0,50445.0,49570.0,50445.0
0.0,-4.3655745685100555e-11,21.095295119921502,-4.3655745685100555e-11,2020/06/13,50006.54799981565,50006.547999798,49451.68689426712,0.0,50006.547999798,,,,,,49569.0,50445.0,49568.0,50446.0
0.0,2.9103830456733704e-11,21.060963114599872,2.9103830456733704e-11,2020/06/14,50006.54799981565,50006.54799979803,49472.74785738172,0.0,50006.54799979803,,,,,,49568.0,50446.0,49569.0,50445.0
0.0,1.2369127944111824e-10,21.029250342660816,1.2369127944111824e-10,2020/06/15,50006.54799981565,50006.54799979815,49493.77710772438,0.0,50006.54799979815,,,,,,49568.0,50445.0,49569.0,50445.0
0.0,-2.1827872842550278e-11,20.999956988809565,-2.1827872842550278e-11,2020/06/16,50006.54799981565,50006.54799979813,49514.777064713184,0.0,50006.54799979813,,,,,,49570.0,50445.0,49569.0,50445.0
0.0,-3.637978807091713e-11,20.97289848102082,-3.637978807091713e-11,2020/06/17,50006.54799981565,50006.547999798095,49535.74996319421,0.0,50006.547999798095,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,8.731149137020111e-11,20.947904320200905,8.731149137020111e-11,2020/06/18,50006.54799981565,50006.54799979818,49556.69786751441,0.0,50006.54799979818,,,,,,49568.0,50445.0,49568.0,50445.0
0.0,2.3283064365386963e-10,20.924817014070864,2.3283064365386963e-10,2020/06/19,50006.54799981565,50006.547999798415,49577.62268452848,0.0,50006.547999798415,,,,,,49568.0,50446.0,49568.0,50445.0
0.0,2.9103830456733704e-11,20.903491090946776,2.9103830456733704e-11,2020/06/20,50006.54799981565,50006.547999798444,49598.52617561943,0.0,50006.547999798444,,,,,,49569.0,50445.0,49568.0,50445.0
0.0,-2.3283064365386963e-10,20.88379217474721,-2.3283064365386963e-10,2020/06/21,50006.54799981565,50006.54799979821,49619.40996779418,0.0,50006.54799979821,,,,,,49568.0,50445.0,49569.0,50446.0
0.0,-2.0372681319713593e-10,20.86559614003636,-2.0372681319713593e-10,2020/06/22,50006.54799981565,50006.54799979801,49640.27556393421,0.0,50006.54799979801,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,1.5279510989785194e-10,20.848788329145464,1.5279510989785194e-10,2020/06/23,50006.54799981565,50006.54799979816,49661.12435226336,0.0,50006.54799979816,,,,,,49569.0,50446.0,49568.0,50446.0
