Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
907164.0,910902.0,745.0307109950809,2925.7577855098643,2020/06/01,909031.749592728,497440.202053911,411591.547538817,,,,,
907878.0,911618.0,712.7260136541445,2882.1027956604376,2020/06/02,909744.4756063821,495270.8252719047,414473.6503344774,,,,,
908559.0,912296.0,681.8288711910136,2839.404937499203,2020/06/03,910426.3044775731,493113.2492055965,417313.0552719766,,,,,
909213.0,912947.0,652.2697361216415,2797.6358630079776,2020/06/04,911078.5742136948,490967.8830787102,420110.6911349846,,,,,
909834.0,913574.0,623.9858292544959,2756.7685489439755,2020/06/05,911702.5600429493,488835.1003590207,422867.4596839286,,,,,
910427.0,914173.0,596.9201570629375,2716.777230426669,2020/06/06,912299.4802000122,486715.24328565696,425584.23691435525,,,,,
911001.0,914746.0,571.0205305422423,2677.6373783774325,2020/06/07,912870.5007305545,484608.6264378218,428261.8742927327,,,,,
911547.0,915290.0,546.2387644597329,2639.3256153401453,2020/06/08,913416.7394950142,482515.53958694136,430901.1999080728,,,,,
912069.0,915811.0,522.5300466328626,2601.8196582347737,2020/06/09,913939.269541647,480436.24997533945,433503.0195663076,,,,,
912564.0,916315.0,499.8523476724513,2565.0982529651374,2020/06/10,914439.1218893195,478371.00407004677,436068.11781927274,,,,,
913044.0,916794.0,478.1659171618521,2529.141106224619,2020/06/11,914917.2878064814,476320.028880984,438597.25892549736,,,,,
913503.0,917250.0,457.4329107236117,2493.928815821768,2020/06/12,915374.720717205,474283.53297588584,441091.1877413191,,,,,
913934.0,917689.0,437.61708406731486,2459.4428155808127,2020/06/13,915812.3378012723,472261.70724437234,443550.63055689994,,,,,
914351.0,918108.0,418.68352558254264,2425.665300334047,2020/06/14,916231.0213268548,470254.72546962084,445976.295857234,,,,,
914757.0,918508.0,400.5984749252675,2392.579166834883,2020/06/15,916631.6198017801,468262.7447777112,448368.87502406887,,,,,
915137.0,918895.0,383.3291793750832,2360.1679756188532,2020/06/16,917014.9489811552,466285.90598146745,450729.0429996877,,,,,
