Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/04/24,14685.426563584087,20096.25349246795,404.95560835043034,209.4530940607001,570.7787202002625,34.13235152039272,14114.647843383826,,,,,
2020/04/25,15075.930564717908,20289.320621869978,390.50400113382057,193.0671294020285,605.800884640128,35.02216443986549,14470.12968007778,,,,,
2020/04/26,15451.892504537554,20467.28972830127,375.96193981964643,177.96910643129377,641.6751873469539,35.874302706825915,14810.2173171906,,,,,
2020/04/27,15813.31678745632,20631.368478192362,361.42428291876604,164.0787498910904,678.3639431089603,36.688755762006394,15134.952844347361,,,,,
2020/04/28,16160.290172664018,20782.68262328191,346.973385207697,151.31414508954913,715.8296728899619,37.46572978100164,15444.460499774055,,,,,
2020/04/29,16492.97011444546,20922.276518595714,332.6799417814418,139.59389531380293,754.0352907157165,38.20561782575464,15738.934823729744,,,,,
2020/04/30,16811.57405587596,21051.115220445066,318.60394143050144,128.83870184935222,792.9442624238867,38.90897170817016,16018.629793452073,,,,,
2020/05/01,17116.369679226937,21170.08764698015,304.7956233509758,118.9724265350851,832.5207383699384,39.57647594605169,16283.848940856999,,,,,
2020/05/02,17407.66608044942,21280.010472699163,291.29640122248384,109.9228257190116,872.7296642607981,40.208925890859746,16534.936416188622,,,,,
2020/05/03,17685.8058665114,21381.632479588472,278.13978606198,101.62200688930898,913.536870607445,40.80720634664692,16772.268995903956,,,,,
2020/05/04,17951.158135708218,21475.639118340652,265.35226919681736,94.00663875218015,954.9091436056004,41.37227299815538,16996.248992102617,,,,,
2020/05/05,18204.112271829796,21562.65711121603,252.9541361215779,87.0179928753787,996.8142800861964,41.90513648059596,17207.2979917436,,,,,
2020/05/06,18445.072509437192,21643.25898999768,240.96023760739627,80.60187878165016,1039.2211277736208,42.406847687424374,17405.85138166357,,,,,
2020/05/07,18674.453198989017,21717.967472774144,229.38068955182462,74.70848277646292,1082.099613146694,42.87848537307332,17592.353585842324,,,,,
2020/05/08,18892.67471019575,21787.259634108454,218.22151120673516,69.29216133430964,1125.4207584165542,43.32114526986015,17767.253951779196,,,,,
2020/05/09,19100.15991314975,21851.570835082683,207.48520295399794,64.311200974229,1169.1566891260172,43.73593070946299,17931.003224023734,,,,,
