Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/14,5703.682137967566,22719.99999999006,93.09683280676472,-5.0640664994716644e-09,3174.1713587688973,85.22699609559322,2529.5107791986684,,,,
2020/05/15,5796.272406378148,22719.999999998625,92.59026841058221,8.563802111893892e-09,3259.651031284756,85.47967251585851,2536.621375093392,,,,
2020/05/16,5888.358866737002,22719.99999999991,92.08646035885431,1.2842065189033747e-09,3345.3582328341113,85.70720154935543,2543.000633902891,,,,
2020/05/17,5979.94426040331,22720.000000000004,91.58539366630794,9.458744898438454e-11,3431.2687417277084,85.91050889359713,2548.675518675602,,,,
2020/05/18,6071.0313138003,22720.000000000004,91.08705339699009,0.0,3517.359231874464,86.09049014675566,2553.672081925836,,,,
2020/05/19,6161.622738488032,22719.999999999978,90.59142468773189,-2.546585164964199e-11,3603.6072425578946,86.2480106834305,2558.0154959301376,,,,
2020/05/20,6251.72123130525,22719.999999999658,90.09849281721745,-3.2014213502407074e-10,3689.9911447510603,86.3839021931658,2561.7300865541893,,,,
2020/05/21,6341.329474832442,22719.999999999018,89.60824352719283,-6.402842700481415e-10,3776.490096902924,86.4989521518637,2564.8393779295184,,,,
2020/05/22,6430.450136250578,22719.999999998203,89.12066141813557,-8.149072527885437e-10,3863.0840814198245,86.59398451690049,2567.3660548307535,,,,
2020/05/23,6519.0858685315925,22719.999999997315,88.6357322810145,-8.87666828930378e-10,3949.7538141906493,86.6697327708248,2569.332054340943,,,,
2020/05/24,6607.239310436331,22719.999999996064,88.15344190473843,-1.2514647096395493e-09,4036.4807302814284,86.72691609077901,2570.7585801549026,,,,
2020/05/25,6694.913086239962,22719.99999999386,87.67377580363063,-2.204615157097578e-09,4123.246970780752,86.76624049932389,2571.6661154592093,,,,
2020/05/26,6782.1098059226515,22719.99999999944,87.19671968268995,5.580659490078688e-09,4210.035361111281,86.78839033052918,2572.07444481137,,,,
2020/05/27,6868.832065279568,22720.000000000622,86.72225935691677,1.1823431123048067e-09,4296.829377480855,86.79401636957391,2572.002687798713,,,,
2020/05/28,6955.082445969275,22720.000000000062,86.25038068970662,-5.602487362921238e-10,4383.613133123195,86.78375564234011,2571.4693128460794,,,,
2020/05/29,7040.863515610408,22720.00000000001,85.7810696411334,-5.093170329928398e-11,4470.371353516415,86.75822039321974,2570.492162093993,,,,
2020/05/30,7126.177827845311,22720.000000000015,85.3143122349029,3.637978807091713e-12,4557.089356163492,86.7180026470769,2569.088471681819,,,,
2020/05/31,7211.027922289291,22719.999999999814,84.8500944439802,-2.000888343900442e-10,4643.753034328948,86.66367816545608,2567.274887960343,,,,
2020/06/01,7295.416325189721,22719.999999998792,84.38840290042936,-1.0222720447927713e-09,4730.348817625469,86.5957832965205,2565.067507564252,,,,
2020/06/02,7379.345548824649,22719.99999999525,83.92922363492835,-3.5433913581073284e-09,4816.863675850201,86.51485822473205,2562.4818729744484,,,,
2020/06/03,7462.818091162001,22719.999999999858,83.47254233735202,4.6093191485852e-09,4903.285126606648,86.42145075644748,2559.532964555353,,,,
2020/06/04,7545.836437409536,22719.99999999883,83.01834624753519,-1.0295480024069548e-09,4989.601142602889,86.31601599624082,2556.2352948066473,,,,
2020/06/05,7628.403058956557,22720.000000000065,82.56662154702099,1.2369127944111824e-09,5075.800193085769,86.19905048288001,2552.6028658707883,,,,
2020/06/06,7710.520413762163,22720.000000000033,82.11735480560583,-3.2741809263825417e-11,5161.87121100448,86.07101791871082,2548.6492027576833,,,,
2020/06/07,7792.190946406414,22720.000000000022,81.67053264425067,-1.0913936421275139e-11,5247.80357803642,85.93236703193998,2544.387368369994,,,,
2020/06/08,7873.417088092256,22720.00000000003,81.22614168584187,7.275957614183426e-12,5333.587111051528,85.78353301510833,2539.8299770407275,,,,
2020/06/09,7954.201257051122,22720.00000000059,80.78416895886676,5.602487362921238e-10,5419.21203777325,85.62492672172175,2534.9892192778725,,,,
2020/06/10,8034.545858146182,22720.000000003605,80.34460109505926,3.01588443107903e-09,5504.668996573724,85.45695880047424,2529.8768615724575,,,,
2020/06/11,8114.453282991039,22720.000000000742,79.9074248448569,-2.863089321181178e-09,5589.949022486668,85.28002591294353,2524.504260504371,,,,
2020/06/12,8193.925910483613,22719.999999999978,79.47262749257425,-7.639755494892597e-10,5675.043515578521,85.09449309185311,2518.882394905092,,,,
2020/06/13,8272.96611364285,22720.000000000015,79.04020315923663,3.637978807091713e-11,5759.944220769526,84.90070519100482,2513.021892873324,,,,
2020/06/14,8351.576221408108,22720.000000000004,78.61010776525836,-1.0913936421275139e-11,5844.6433408971525,84.69912012762688,2506.9328805109553,,,,
2020/06/15,8429.758600153376,22720.00000000008,78.18237874526858,7.639755494892597e-11,5929.133244292493,84.48990339534066,2500.6253558608832,,,,
2020/06/16,8507.515568124913,22720.000000000146,77.75696797153614,6.548361852765083e-11,6013.406749773046,84.27350548055256,2494.108818351867,,,,
2020/06/17,8584.84944008982,22719.999999999753,77.3338719649073,-3.92901711165905e-10,6097.456956005678,84.05020623263226,2487.392484084142,,,,
2020/06/18,8661.76251826043,22719.99999999816,76.91307817060988,-1.5934347175061703e-09,6181.277271225405,83.82031521972658,2480.485247035025,,,,
2020/06/19,8738.257092375352,22719.999999993466,76.49457411492222,-4.69299266114831e-09,6264.861396911551,83.58412568614676,2473.3956954638006,,,,
2020/06/20,8814.33543900408,22719.999999999476,76.07834662872847,6.00994098931551e-09,6348.203338588346,83.3419416767947,2466.1321004157344,,,,
2020/06/21,8889.99982330671,22719.99999999994,75.66438430263042,4.656612873077393e-10,6431.297348885318,83.09401029697165,2458.702474421393,,,,
2020/06/22,8965.25249775408,22720.00000000011,75.25267444736892,1.673470251262188e-10,6514.137956441923,82.84060755660539,2451.1145413121567,,,,
2020/06/23,9040.095712531831,22720.00000000003,74.8432147777512,-8.003553375601768e-11,6596.719924126135,82.58196768421203,2443.375788405696,,,,
2020/06/24,9114.531653105221,22720.00000000006,74.43594057339033,2.9103830456733704e-11,6679.038383518548,82.31845939241248,2435.4932695866737,,,,
2020/06/25,9188.562591892118,22719.999999999767,74.03093878689651,-2.9103830456733704e-10,6761.088468652815,82.05008513426765,2427.4741232393026,,,,
2020/06/26,9262.190707435791,22719.999999999778,73.62811554367363,1.0913936421275139e-11,6842.865741313121,81.77727266030615,2419.32496612267,,,,
2020/06/27,9335.418193057092,22720.000000000386,73.22748562130073,6.075424607843161e-10,6924.365919776745,81.50017846362334,2411.0522732803474,,,,
2020/06/28,9408.247228653061,22720.000000000127,72.82903559596889,-2.582964953035116e-10,7005.584941995436,81.21902221869095,2402.6622866576254,,,,
2020/06/29,9480.679982272311,22719.999999999556,72.43275361925043,-5.711626727133989e-10,7086.518952578194,80.93401058275867,2394.161029694117,,,,
2020/06/30,9552.71861026838,22720.000000000775,72.03862799606941,1.2187229003757238e-09,7167.164293965551,80.6453413873569,2385.5543163028296,,,,
2020/07/01,9624.365257203619,22720.000000003616,71.6466469352381,2.841261448338628e-09,7247.517501891645,80.353207926094,2376.8477553119737,,,,
2020/07/02,9695.622056129096,22720.00000000443,71.25679892547669,8.149072527885437e-10,7327.575296750046,80.05779485840048,2368.04675937905,,,,
2020/07/03,9766.49112790532,22719.999999998516,70.86907177622379,-5.915353540331125e-09,7407.334587413198,79.75929066315257,2359.156540492121,,,,
2020/07/04,9836.974582266168,22719.9999999993,70.48345436084855,7.8580342233181e-10,7486.79244831641,79.45786090321144,2350.1821339497583,,,,
