Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/04/11,39848.48051305665,43486.956739820904,815.3029170244699,153.52133899205364,1162.5815541579652,52.241420998273725,38685.89895889869,39458.0,40240.0,43079.0,43895.0,,,,,
2020/04/12,40536.025068094896,43594.18650986225,687.5445550382428,107.22977004134736,1215.7736963630352,53.19214220507001,39320.25137173186,40142.0,40931.0,43186.0,44004.0,,,,,
2020/04/13,41112.30509458243,43668.4557578472,576.2800264875332,74.2692479849502,1269.7525054288149,53.978809065779615,39842.552589153616,40715.0,41510.0,43259.0,44079.0,,,,,
2020/04/14,41592.870966796356,43719.54066296049,480.5658722139269,51.084905113290006,1324.3760415973372,54.62353616852238,40268.49492519902,41194.0,41993.0,43311.0,44130.0,,,,,
2020/04/15,41991.92423492477,43754.47999361344,399.0532681284167,34.9393306529455,1379.5228593093414,55.14681771200412,40612.40137561543,41591.0,42394.0,43345.0,44165.0,,,,,
2020/04/16,42322.12807932316,43778.26695630032,330.2038443983911,23.78696268688509,1435.089991760997,55.56713245165565,40887.03808756216,41918.0,42726.0,43369.0,44189.0,,,,,
2020/04/17,42594.5682269389,43794.40145906069,272.44014761573635,16.134502760367468,1490.9907892554163,55.900797494419294,41103.57743768348,42190.0,43000.0,43385.0,44205.0,,,,,
2020/04/18,42818.81113572666,43805.31309608763,224.24290878776083,10.911637026940298,1547.1527788166186,56.16198956120229,41271.65835691004,42413.0,43225.0,43395.0,44217.0,,,,,
2020/04/19,43003.019210721315,43812.67538066387,184.20807499465445,7.362284576243837,1603.515648727015,56.36286991039651,41399.5035619943,42598.0,43411.0,43403.0,44224.0,,,,,
2020/04/20,43154.094403746574,43817.63385190784,151.07519302525907,4.9584712439682335,1660.0294148116782,56.513766084663075,41494.06498893489,42748.0,43561.0,43408.0,44228.0,,,,,
2020/04/21,43277.83094200965,43820.96873453853,123.73653826307418,3.3348826306901174,1716.6527928273379,56.62337801565968,41561.17814918231,42870.0,43685.0,43412.0,44232.0,,,,,
2020/04/22,43379.06502405528,43823.20932855521,101.2340820456302,2.240594016679097,1773.3517801562373,56.69898732889942,41605.713243899045,42971.0,43787.0,43413.0,44234.0,,,,,
2020/04/23,43461.81441980861,43824.71358150442,82.74939575332974,1.5042529492056929,1830.0984370918557,56.746656935618375,41631.715982716756,43053.0,43871.0,43415.0,44235.0,,,,,
2020/04/24,43529.40440007386,43825.72296529872,67.58998026524932,1.0093837943059043,1886.8698509296241,56.77141383776848,41642.534549144235,43122.0,43938.0,43417.0,44236.0,,,,,
2020/04/25,43584.57869321866,43826.40006655799,55.174293144802505,0.6771012592653278,1943.6472629007583,56.77741197113414,41640.931430317905,43176.0,43994.0,43417.0,44237.0,,,,,
2020/04/26,43629.595577561086,43826.85419796475,45.01688434242533,0.4541314067610074,2000.4153372788803,56.76807437812204,41629.18024028221,43222.0,44038.0,43418.0,44238.0,,,,,
2020/04/27,43666.31002673905,43827.15877436571,36.7144491779618,0.3045764009584673,2057.1615527718923,56.74621549301196,41609.14847396716,43257.0,44077.0,43418.0,44238.0,,,,,
2020/04/28,43696.243235827365,43827.363062732686,29.933209088318108,0.20428836697828956,2113.8756979046852,56.714145132792964,41582.36753792268,43287.0,44107.0,43418.0,44238.0,,,,,
2020/04/29,43720.64101235704,43827.500107064305,24.397776529673138,0.13704433161910856,2170.5494540612067,56.67375615652145,41550.09155829583,43311.0,44131.0,43417.0,44238.0,,,,,
2020/04/30,43740.522517614096,43827.59206284847,19.881505257057142,0.09195578416256467,2227.176051912666,56.62659785145934,41513.34646570143,43332.0,44152.0,43416.0,44238.0,,,,,
2020/05/01,43756.720756917995,43827.65378234203,16.198239303899754,0.06171949356212281,2283.7499889503715,56.57393703770549,41472.97076796762,43348.0,44168.0,43418.0,44239.0,,,,,
2020/05/02,43769.91608632956,43827.69522152189,13.19532941156649,0.04143917986220913,2340.2667976776515,56.51680872728002,41429.64928865191,43360.0,44180.0,43418.0,44238.0,,,,,
2020/05/03,43780.6638548297,43827.72305464061,10.747768500135862,0.027833118721900973,2396.72285565624,56.45605797858843,41383.94099917346,43371.0,44192.0,43419.0,44239.0,,,,,
2020/05/04,43789.417151785536,43827.74175662922,8.753296955837868,0.018701988607062958,2453.1152300373506,56.392374381110585,41336.301921748185,43380.0,44200.0,43418.0,44238.0,,,,,
2020/05/05,43796.54548894626,43827.75432849302,7.128337160727824,0.012571863800985739,2509.4415504413037,56.326320403953105,41287.10393850496,43387.0,44207.0,43418.0,44239.0,,,,,
2020/05/06,43802.35011864268,43827.762783351056,5.804629696416669,0.008454858034383506,2565.699905099711,56.25835465840737,41236.65021354297,43392.0,44213.0,43418.0,44239.0,,,,,
2020/05/07,43807.076577287335,43827.76847207323,4.726458644654485,0.005688722172635607,2621.8887560587923,56.188850959081265,41185.187821228545,43397.0,44218.0,43417.0,44239.0,,,,,
2020/05/08,43810.924945784456,43827.7723014719,3.8483684971215553,0.003829398672678508,2678.0068699823323,56.11811392354002,41132.918075802125,43400.0,44222.0,43418.0,44239.0,,,,,
2020/05/09,43814.05823506738,43827.77488051442,3.133289282923215,0.002579042520665098,2734.053261709222,56.04639172688985,41080.004973358155,43405.0,44224.0,43418.0,44239.0,,,,,
2020/05/10,43816.60923447165,43827.77661832383,2.5509994042731705,0.0017378094053128734,2790.027148231117,55.973886521894656,41026.58208624054,43406.0,44228.0,43418.0,44239.0,,,,,
2020/05/11,43818.68610146683,43827.777789883534,2.0768669951794436,0.00117155970656313,2845.9279111775218,55.90076294640494,40972.75819028931,43410.0,44229.0,43418.0,44238.0,,,,,
2020/05/12,43820.37692189547,43827.77858010292,1.6908204286373802,0.0007902193829067983,2901.755066243039,55.82715506551722,40918.62185565243,43411.0,44232.0,43417.0,44238.0,,,,,
2020/05/13,43821.75342887604,43827.77911338103,1.3765069805740495,0.0005332781147444621,2957.50823827706,55.75317203402119,40864.24519059898,43412.0,44233.0,43417.0,44238.0,,,,,
2020/05/14,43822.87403460398,43827.779473448034,1.1206057279341621,0.0003600670024752617,3013.1871409905793,55.678902713519165,40809.6868936134,43413.0,44234.0,43419.0,44238.0,,,,,
2020/05/15,43823.78630143276,43827.77971669086,0.9122668287818669,0.00024324282276211306,3068.7915604259924,55.60441943541309,40754.99474100677,43415.0,44234.0,43418.0,44238.0,,,,,
2020/05/16,43824.528955356596,43827.77988109848,0.7426539238367695,0.00016440762556158006,3124.3213414946226,55.5297810686302,40700.207613861974,43415.0,44235.0,43418.0,44238.0,,,,,
2020/05/17,43825.13352647538,43827.7799922799,0.6045711187834968,0.00011118141992483288,3179.776377012727,55.45503551810452,40645.35714946265,43415.0,44236.0,43418.0,44239.0,,,,,
2020/05/18,43825.62568527201,43827.78006750562,0.4921587966309744,7.522571831941605e-05,3235.1565987735357,55.38022176080858,40590.46908649847,43416.0,44237.0,43418.0,44238.0,,,,,
2020/05/19,43826.026331059395,43827.780118430666,0.40064578738383716,5.0925045798067003e-05,3290.461970277111,55.305371503575316,40535.564360782286,43416.0,44237.0,43418.0,44237.0,,,,,
2020/05/20,43826.352478380504,43827.78015292288,0.32614732110960176,3.449221549089998e-05,3345.692480811135,55.23051053402378,40480.65999756937,43417.0,44237.0,43418.0,44238.0,,,,,
2020/05/21,43826.617978855975,43827.78017629739,0.26550047547061695,2.337450860068202e-05,3400.848140631463,55.15565982032831,40425.769838224514,43417.0,44238.0,43418.0,44239.0,,,,,
2020/05/22,43826.834109003496,43827.78019214583,0.21613014752074378,1.584843994351104e-05,3455.9289770381747,55.08083640671157,40370.90513196532,43416.0,44238.0,43418.0,44239.0,,,,,
2020/05/23,43827.01004884614,43827.780202897295,0.17593984264385654,1.0751464287750423e-05,3510.9350311810826,55.00605414290794,40316.075017665054,43417.0,44238.0,43417.0,44239.0,,,,,
2020/05/24,43827.15327160848,43827.780210194614,0.1432227623372455,7.2973198257386684e-06,3565.866355459008,54.93132427792534,40261.28691614947,43417.0,44238.0,43418.0,44238.0,,,,,
2020/05/25,43827.26986100844,43827.78021515028,0.1165893999641412,4.9556620069779456e-06,3620.7230114024737,54.85665594346574,40206.54684960597,43418.0,44238.0,43417.0,44238.0,,,,,
2020/05/26,43827.36476957222,43827.78021851733,0.09490856377669843,3.367051249369979e-06,3675.505067950118,54.78205654764406,40151.8597016221,43417.0,44238.0,43419.0,44239.0,,,,,
2020/05/27,43827.442028940946,43827.780220806344,0.07725936872884631,2.289016265422106e-06,3730.2126000455523,54.707532095434544,40097.22942889539,43417.0,44238.0,43418.0,44239.0,,,,,
2020/05/28,43827.50492109036,43827.78022236319,0.06289214941352839,1.5568439266644418e-06,3784.845687495103,54.63308744955066,40042.65923359526,43417.0,44238.0,43419.0,44238.0,,,,,
